,Company Name,Job Role,Salary,Job Decription,Required Exp,posted_date
330,TECHNOPARK TRIVANDRUM,Systems Engineer,NA,Brief description :Travanleo is hiring experienced self-motivated full time employees for the position of Systems Engineer. Engineers with sound knowledge in System/Server Adm...,3 - 4 yrs,2020-10-24
331,TECHNOPARK TRIVANDRUM,Junior Software Engineer - .NET,NA,"Brief description :Sound knowledge and experience in SQL Server, ASP.Net, C#, Ajax, and system analysis are required. Candidates should be adaptive to new technologiesQualific...",0 - 3 yrs,2020-10-24
332,TECHNOPARK TRIVANDRUM,Junior Software Engineer - Java,NA,"Should have good knowledge in Core Java, J2EE, Web Development, Angular JS, Spring Framework, Linux, SQL (MSSQL/other RDMBS)Strong problem solving and analytical skills and ex...",0 - 3 yrs,2020-10-24
333,TECHNOPARK TRIVANDRUM,Junior Business Consultant,NA,Create a fantastic first impression to prospects & client. Develop & Execute plans to maximize sales & revenue. Develop & execute sales/marketing proposals. Cl...,0 - 3 yrs,2020-10-24
334,TECHNOPARK TRIVANDRUM,Dotnet Developer,NA,"Brief description :4-7 years experience in .NET Core & ASP.NET Experience in Upgrading, configuring, maintaining, and debugging existing systems Expert in JavaScriptPrefer...",4 - 7 yrs,2020-10-24
335,TECHNOPARK TRIVANDRUM,Process Trainer,NA,"Brief description :Empower the workforce - create, facilitate, and/or revise training materials and documents to equip staff with fundamental skills and knowledge.Develop prog...",0 - 3 yrs,2020-10-24
336,TECHNOPARK TRIVANDRUM,Sr.Developer- Full Stack PHP Developer,NA,"Brief description :The ideal candidate is a highly resourceful and innovative developer with extensive experience in the layout, design and coding of websites specifically in ...",0 - 3 yrs,2020-10-24
337,TECHNOPARK TRIVANDRUM,Technical Support Executive,NA,Brief description :Technical Support Executive_Immediate Requirementandling customer technical support cases through Jira tickets or email submission/phone callsProvide daily ...,1 - 2 yrs,2020-10-24
338,TECHNOPARK TRIVANDRUM,iOS Developer,NA,Brief description :1-4 years of experience in developing mobile applications for iPhone/iPadShould be strong in object oriented programming and design using Swift or Objective...,1 - 4 yrs,2020-10-24
339,TECHNOPARK TRIVANDRUM,International outbound- Phone Survey Analyst,NA,Brief description :Position Description:The Phone Survey Analysts role is to conduct phone interviews and collect data from contacts regarding energy and water usage among oth...,2 - 5 yrs,2020-10-24
340,TECHNOPARK TRIVANDRUM,UI/UX Designer,NA,"UI/UX Designer (0 to 1 Year Experience)As a creative UI/UX designer, you are expecting to bring ideas to life through visuals. If you are good at doing great UI, wireframes, i...",0 - 1 yrs,2020-10-24
341,TECHNOPARK TRIVANDRUM,Sr. Full Stack Developer,NA,Brief description :We are looking for a Sr. PHP Full stack developer responsible for managing back-end services and the interchange of data between the server and the users. Y...,5 - 8 yrs,2020-10-24
342,TECHNOPARK TRIVANDRUM,React Native Developer,NA,"Brief description :We are looking for a qualified React Native, Flutter developer to join our Engineering team.You will be working with our engineers to develop and maintain h...",3 - 6 yrs,2020-10-24
343,TECHNOPARK TRIVANDRUM,Sr.PHP Developer,NA,Brief description :We are looking for a Sr. PHP Developer responsible for managing back-end services and the interchange of data between the server and the users. Your primary...,3 - 5 yrs,2020-10-24
344,TECHNOPARK TRIVANDRUM,Azure Power BI Developer,NA,Brief description :Roles and ResponsibilitiesDevelopment of Azure logic apps and relevant functions and Power BI development.Good understanding of APIs or REST services integr...,2 - 5 yrs,2020-10-24
345,TECHNOPARK TRIVANDRUM,UI Developer,NA,"Brief description :Roles and ResponsibilitiesCome up with creative design concepts and ideas by translating user requirements (end customer, partners, product teams or sales/m...",2 - 6 yrs,2020-10-24
346,TECHNOPARK TRIVANDRUM,Technical Architect,NA,Brief description :Understanding of Ecommerce/Retail domain will be a plusRoles and ResponsibilitiesWork with the leadership and product team to align the technical roadmap wi...,10 - 13 yrs,2020-10-24
347,TECHNOPARK TRIVANDRUM,Junior Software Engineer,NA,"Brief description :Integration of user-facing elements developed by front-end developersBuild efficient, testable, and reusable PHP modulesSolve complex performance problems a...",0 - 3 yrs,2020-10-24
348,TECHNOPARK TRIVANDRUM,Systems Engineer,NA,"Providing L1 support of IT Infrastructure for clientsConfiguring and maintaining the Operating Systems, networked computer system, including hardware, system software, and app...",1 - 2 yrs,2020-10-24
349,MS India,"Relationship Banker,Relationship Associate,Consultant",Rs 4.00 - 12.00 Lacs p.a.,"Responsibilities and Accountabilities: Fresher Candidate can be apply .Arelationship banker, also known as a personal banker, is the liaison between the customer and the finan...",0 - 2 yrs,2020-10-24
350,MS India,"Team Leader,Team Manager,Team Coordinator,Team Assistant",Rs 4.00 - 12.00 Lacs p.a.,"Responsibilities and Accountabilities: Fresher Candidate can be apply .Manages and leads ateam of employees. Communicates company goals, safety practices, and deadlines toteam...",0 - 1 yrs,2020-10-24
351,S M Placement,"Sales,Sales Administrator",Rs 3.25 - 9.25 Lacs p.a.,Job Details An opportunity to work for one of the Worlds most admired Licensor organization based in their India office in the Delhi. They are dealing in EPC / PMC and Cryo / ...,3 - 8 yrs,2020-10-24
352,S M Placement,Product Manager,Rs 6.00 - 40.00 Lacs p.a.,Job brief:We are looking for an experienced Product Manager who is passionate about building products that customers love. You will join a dynamic and fast-paced environment a...,4 - 9 yrs,2020-10-23
353,Fingent,SAP UI5 Developer,NA,"Mandatory skills:Candidate should have in depth knowledge and experience in FIORI  UI5Experience working with the languages (e.g. SAPUI5, JavaScript, CSS, HTML5, jQuery)Experi...",4 - 6 yrs,2020-10-23
354,Fingent,SAP FICO Functional Consultant,NA,4-6 years Experience in SAP Financials consulting experienceExperience in Implementation/ migration of minimum of 1 project for S4 HANAS4HANA experience is a MustMust have goo...,4 - 6 yrs,2020-10-23
355,Fingent,SAP SD Functional Consultant,NA,(Order to Cash) Technical Competencies 4 to 6 year of SAP SD including at least 1   year on SAP S/4HANAExperience as consultant with complex and multiple projects (both comple...,4 - 6 yrs,2020-10-23
356,Fingent,Senior ABAP Integration Specialist,NA,"Minimum of 6 years experience in SAP integrationExperience of designing, implementing and supporting integration solutions using SAP PI/PO or HCI and other associated integrat...",6 - 7 yrs,2020-10-23
357,TECHNOPARK TRIVANDRUM,Shopify Developer,NA,"Brief description :Are you an innovative person? Do you have a passion for technology and solving problems? Are you self-directed, confident, and able to work without requirin...",2 - 5 yrs,2020-10-23
358,TECHNOPARK TRIVANDRUM,UI Developer,NA,Brief description :Urgent requirement for UI Developer candidates with 2-4 years of experience . Immediate joineres are preffered .Required skillsPreferred skills2  4 years of...,2 - 4 yrs,2020-10-23
359,CONNECTING 2 WORK,Technical Aircraft Engineer,NA,Job Description Fly Up Aviation has carved its own place in the recruitment of Aviation and Aerospace personnel all over the world for more than 25 years. We work with some of...,5 - 8 yrs,2020-10-23
360,QuEST Global Engineering Pvt Ltd,Senior Software Engineers/Lead Engineers  Java Full Stack,NA,Job DescriptionSenior Software Engineers/Lead Engineers  Java Full StackCore CompetenciesMinimum 3 years of experience in the design and development Java applicationsGood expe...,3 - 6 yrs,2020-10-23
361,TECHNOPARK TRIVANDRUM,Senior Java Developer,NA,Brief description :4  Experience of developing Java-based Web applications with a good professional track record.Excellent knowledge of Core Java and J2EE technologies.Should ...,0 - 3 yrs,2020-10-23
362,TECHNOPARK TRIVANDRUM,Embedded Engineer,NA,"1. Good Coding knowledge in C/ C   , python, SQL, PHP2. Good working knowledge in different types of microcontrollers (atmega328, stm32, esp32)3. Basic knowledge in FPGA progr...",0 - 3 yrs,2020-10-23
363,TECHNOPARK TRIVANDRUM,ServiceNow Certified Application Developer,NA,Brief description :Roles and ResponsibilitiesDevelop software applications to solve business problems using ServiceNow ecosystemWork with a high performing agile team using th...,2 - 5 yrs,2020-10-23
364,TECHNOPARK TRIVANDRUM,Marketing Specialist,NA,"Brief description :Responsibilities Conceiving and developing efficient and intuitive marketing strategiesConducting market research and analysis to evaluate trends, brand awa...",1 - 4 yrs,2020-10-23
365,TECHNOPARK TRIVANDRUM,Business Developer,NA,"Brief description :Responsibilities Conceiving and developing efficient and intuitive marketing strategiesConducting market research and analysis to evaluate trends, brand awa...",1 - 4 yrs,2020-10-23
366,TECHNOPARK TRIVANDRUM,Graphic Designer,NA,Brief description :We are in search of a talented and creative Graphic Designer who could successfully communicate messages through the graphic medium. If you possess the intu...,0 - 3 yrs,2020-10-23
367,TECHNOPARK TRIVANDRUM,Team Lead - UI Designer,NA,"About TechversantAbout Techversant Infotech ""We are a global software solutions firm providing the full life cycle of capabilities from strategy through development, testing, ...",5 - 8 yrs,2020-10-23
368,TECHNOPARK TRIVANDRUM,FRONT OFFICE EXECUTIVE,NA,All front office activitiesWelcoming walk-insAttending incoming and outgoing callsShould understand and be able to explain the product and also queriesGood communicationPleasa...,0 - 3 yrs,2020-10-23
369,TECHNOPARK TRIVANDRUM,Social Media Manager,NA,"Brief description :We are looking for an experienced Social Media Manager who has worked with International clients, preferably in the field of Automotive. They will be respon...",0 - 3 yrs,2020-10-23
370,TECHNOPARK TRIVANDRUM,Junior Business Development Executive,NA,"Brief description :We are looking for smart and energetic candidate who can join us immediately, for the position of Jr. Business Development Executive.Job DescriptionLead Gen...",0 - 3 yrs,2020-10-23
371,TECHNOPARK TRIVANDRUM,PHP Developer - Laravel,NA,"PHP Developer - Laravel (2 - 5 Yrs)We are looking for a motivated PHP / Laravel developer to come join our agile team of professionals.If you are passionate about technology, ...",2 - 5 yrs,2020-10-23
372,TECHNOPARK TRIVANDRUM,PHP Developer - Drupal,NA,PHP Developer - Drupal - (Exp - 2 - 5 Yrs)We are looking for a Drupal Developer who is strong having experience in working with Drupal version 7 and 8.This position requires a...,2 - 5 yrs,2020-10-23
373,TECHNOPARK TRIVANDRUM,Chief Operations Officer,NA,"Lead the strategy for technology platforms, Content development & head the training operationsIdentify, compare, select and implement technology solutions to meet current ...",0 - 3 yrs,2020-10-23
374,TECHNOPARK TRIVANDRUM,Technical Support Engineer - Linux,NA,"E-Team Informatica India Private Limited is functioning at Technopark, Trivandrum from November 2005,a subsidiary of Gruppo Zenit, based at Novara, near Milan, Italy focusing ...",1 - 4 yrs,2020-10-23
375,TECHNOPARK TRIVANDRUM,Jr. Graphic Designer,NA,"Job Responsibilities :Designing Brochures, Posters, Graphic videos with minimum supervision.Collect data, images and video clips from the team and create documents youtube vid...",0 - 3 yrs,2020-10-23
376,TECHNOPARK TRIVANDRUM,Business Development Executive,NA,"Develop business and marketing plans in coordination with management team to achieve revenue goals. Develop in-depth knowledge about business development practices, marketing ...",0 - 3 yrs,2020-10-23
377,TECHNOPARK TRIVANDRUM,Real Estate Photo Editor,NA,Brief description : Expert in Adobe Photoshop & Lightroom. Make effective graphics as per the company's requirements. Oversee workloads to ensure deadlines are met. Manipu...,0 - 3 yrs,2020-10-23
378,TECHNOPARK TRIVANDRUM,JAVA Developer,NA,"ENVESTNET is hiring for JAVA professionals !!Role IntentTo develop and/or maintain code based on established scope, quality and timelines.Role SummaryCreate solutions based up...",0 - 3 yrs,2020-10-23
379,TECHNOPARK TRIVANDRUM,React JS Developer,NA,"Looking for experienced Javascript developers with basic knowledge in React or React Native or Angular.Should have strong JS/Jquery skills, willing to switch career to Fullsta...",1 - 4 yrs,2020-10-23
380,TECHNOPARK TRIVANDRUM,Java/J2EE Developer,NA,We are currently seeking a Java Developer for product development.Work with a team to design and implement J2EE architectural framework. Very good at coding with Spring and Hi...,4 - 6 yrs,2020-10-23
381,TECHNOPARK TRIVANDRUM,LINUX ENGINEER,NA,"Brief description :Experience: 6  10 Years Advanced knowledge and experience in Linux 6.x / 7 distributions, Managing the products installed on Unix systems Monitoring of UNIX...",6 - 10 yrs,2020-10-23
382,TECHNOPARK TRIVANDRUM,Digital Marketing Trainer,NA,"provide training to a batch of studentsprovide training to online studentsprepare curriculum for dmgood knowledge of working with SEO, SMM, SEM, poster creation, lead generati...",5 - 8 yrs,2020-10-23
383,TECHNOPARK TRIVANDRUM,EOS (Cryptocurrency) Developer,NA,"Brief description :C   developer with knowledge in building cryptocurrencies.Should have built at least one coin based on bitcoin, monero, or EOS.Understand consensus algorith...",2 - 5 yrs,2020-10-23
384,TECHNOPARK TRIVANDRUM,Angular Developer (Dart),NA,We are looking to recruit experienced Angular- Dart Developers who have good Knowledge and experience in Dart. The candidate must be eager to take up challenges and provide te...,2 - 5 yrs,2020-10-23
385,TECHNOPARK TRIVANDRUM,Production Engineer Electronics,NA,"Brief description :Job SummaryGenrobotics, a leading developer of RC Controlled Robots and the maker of Bandicoot (Manhole Cleaning Robot) and other innovative robots, seeks t...",2 - 3 yrs,2020-10-23
386,TECHNOPARK TRIVANDRUM,Finance Manager,NA,"Brief description :We, GENROBOTIC INNOVATIONS PRIVATE LIMITED, are looking for anenthusiastic professional in Finance as in the position of Finance Manager, capable ofhandling...",4 - 6 yrs,2020-10-23
387,TECHNOPARK TRIVANDRUM,Android Kernel Developer,NA,"Brief description :SCSoft is looking for an Android Kernel Developer. The position involves developing/integrating device drivers, compiling Android from sources and implement...",3 - 6 yrs,2020-10-23
388,TECHNOPARK TRIVANDRUM,C   Developer (Linux Kernel Development),NA,"C   Developer (Linux Kernel Development)SCSoft is looking for a Linux Kernel Developer. The position involves developing/integrating device drivers, compiling Linux from sourc...",3 - 6 yrs,2020-10-23
389,TECHNOPARK TRIVANDRUM,UI/UX Engineer,NA,Brief description :We are looking for a Web Designer who will be responsible for creating great web & mobile app design for our clients.The candidate will need to have exc...,1 - 2 yrs,2020-10-23
390,TECHNOPARK TRIVANDRUM,PHP Developer,NA,Brief description :PHP Developer (5  years of experience)Confianz IT Pvt. Ltd is currenly looking for experienced PHP developer with 5  years of experience.Proven software dev...,5 - 8 yrs,2020-10-23
391,TECHNOPARK TRIVANDRUM,PL/SQL Developer,NA,hr@polussoftware.comBrief description :Ability to Understand large data structures .Excellent knowledge in Database analysis and Designing & database design methodologies....,1 - 4 yrs,2020-10-23
392,TECHNOPARK TRIVANDRUM,Php/Laravel Developer,NA,Brief description :We are looking for a Php/Laravel developer to join our Polus team. The candidate must have excellent command of core PHP.Experience : 2-4 years of total sof...,2 - 4 yrs,2020-10-23
393,TECHNOPARK TRIVANDRUM,Technical Project lead,NA,"Understand the scope of work by reading the SOW and assign work to the team members, in consultation with a senior manager.Guide and provide feedback to team members on end-to...",5 - 8 yrs,2020-10-23
394,TECHNOPARK TRIVANDRUM,Mobile APP Developers,NA,Brief description :Mobile APP Developers( 5  Yrs of Experience)We are currently looking for Mobile App Developers (5  Yrs)Experience building and maintaining mobile apps with ...,5 - 8 yrs,2020-10-23
395,TECHNOPARK TRIVANDRUM,Android Developer,NA,Brief description :Android Developers ( 3  Years)Confianz IT Pvt.Ltd. is currently looking for Mobile application developers ( 3  Years) who should have in-depth knowledge of ...,3 - 6 yrs,2020-10-23
396,TECHNOPARK TRIVANDRUM,Senior PHP Developer,NA,Brief description :SENIOR PHP DEVELOPER ( 4  Yrs )Confianz IT Pvt.Ltd. is currently looking for Professional PHP Developers ( 4  Yrs) who should have in-depth knowledge of obj...,4 - 7 yrs,2020-10-23
397,TECHNOPARK TRIVANDRUM,Junior BA,NA,"Brief description :Job Specifications -1-3 years experience in the Business Analyst roleGood understanding of Agile Scrum practicesExperience working with stakeholders, softwa...",1 - 3 yrs,2020-10-23
398,TECHNOPARK TRIVANDRUM,Senior Software Engineer - Java,NA,"About Perfomatix:Perfomatix is a fast growing technology company with operations in the USA, Singapore, India and Australia. We are a group of technology enthusiasts , innovat...",3 - 5 yrs,2020-10-23
399,MS India,"Relationship Executive/Manager,Relationship Officer",Rs 5.50 - 12.00 Lacs p.a.,Responsibilities and Accountabilities: Fresher Candidate can be apply .We are looking for a Relationship Manager to build and preserve trusting relationships with our customer...,0 - 1 yrs,2020-10-23
400,MS India,Administration/Secreterial/Clerical Operations,Rs 5.00 - 10.00 Lacs p.a.,"Responsibilities and Accountabilities: Fresher Candidate can be apply .Maintains administrative staff by recruiting, selecting, orienting, and training employees.Supervises cl...",0 - 1 yrs,2020-10-23
401,UNIVERSAL HUNT,Medical coding-Trainers,NA,"300,000 - 700,000 (PA)Full TimeThiruvananthapuram,Kerala,IndiaSkills A FLEXIBLE MENTALITY TO LEARN A SLIGHTLY DIFFERENT APPROACH AS APPLIED BY NAVIGANT BPM INDIA PVT LTD.  STR...",3 - 10 yrs,2020-10-22
402,ORACLE,Applications Developer 2,NA,"Applications Developer 2 - 20000NK3 Applicants are required to read, write, and speak the following languages : EnglishPreferred Qualifications1.5  years experience in a softw...",5 - 8 yrs,2020-10-22
403,ORACLE,Applications Developer 3,NA,"Applications Developer 3 - 20000NK5 Applicants are required to read, write, and speak the following languages : EnglishPreferred Qualifications4  years experience in a softwar...",4 - 7 yrs,2020-10-22
404,ORACLE,Applications Developer 3,NA,"Applications Developer 3 - 20000NK6 Applicants are required to read, write, and speak the following languages : EnglishPreferred Qualifications4  years experience in a softwar...",4 - 7 yrs,2020-10-22
405,Inzynix It Solutions,Web Designers,NA,"Web DesignersAre you a Web Designer that wants to be a part of one of the BEST CREATIVE TEAM? Are you passionate, self-motivated, flexible and proactive? If so, join us!PORTFO...",0 - 3 yrs,2020-10-22
406,Experion Technologies,TechLead / Architect for Javascript Technology Stack,NA,Summary:Position: Technology Lead / Associate Software Architect / Software ArchitectLocation  Trivandrum Qualification  B-Tech / MCAExperience Requirements:8 to 12 years of e...,8 - 12 yrs,2020-10-22
407,Experion Technologies,Senior NodeJS Developer,NA,"Job purpose:Experion Technologies is looking for a Senior NodeJS Developer, he/she should have at least five to seven years of experience in the design, development, and maint...",4 - 7 yrs,2020-10-22
408,CONNECTING 2 WORK,UI Designer,NA,"Job Description Interaction design principlesBranding, typography and color theoryWireframing and prototypingStyle guidesUser research and personasTeamwork and communication s...",0 - 3 yrs,2020-10-22
409,CONNECTING 2 WORK,Android Developer,NA,"Job Description 1.Extensive hands-on development experience using Java and Kotlin2.Extensive experience with Android SDK, Eclipse/AndroidStudio and modern Developer Tools3.Str...",0 - 3 yrs,2020-10-22
410,CONNECTING 2 WORK,IOS Developer,NA,"Job Description 1.Proficient with Swift2.Experience with iOS frameworks such as Core Data, Core Animation, etc.3.Experience with offline storage, threading, and performance tu...",0 - 3 yrs,2020-10-22
411,CONNECTING 2 WORK,Laravel developer,NA,Job DescriptionWe are looking for a Laravel developer with more than 3 years of experience.3-5 Years experienced PHP Developer with strong knowledge in Laravel. Candidate shou...,3 - 5 yrs,2020-10-22
412,CONNECTING 2 WORK,.Net Developer,NA,"Job Description The primary responsibility will be to develop the different layers of our applications, and to coordinate with the rest of the team working on different layers...",0 - 3 yrs,2020-10-22
413,CONNECTING 2 WORK,Counter staff,NA,Job Description Counter Sales Responsibilities:Greeting customers and taking orders.Processing payments.Assisting customers with queries and providing solutions quickly.Posses...,0 - 3 yrs,2020-10-22
414,CONNECTING 2 WORK,ETL Developer,NA,"Job Description ETL DeveloperOverviewThe ETL Developer is responsible for the design, development, and implementation of Business Intelligence dashboards and reports using the...",2 - 4 yrs,2020-10-22
415,ANANTHAPURI HOSPITALS AND RESEARCH INSTITUTE,Anesthesiologist/ Physician/ Pulmonologist,NA,Anesthesiologist/ Physician/ Pulmonologist Qualified Anesthesiologist/Physician/Pulmonologist to work as Junior Consultant under Intensivist in Critical CareDesired Qualificat...,3 - 6 yrs,2020-10-22
416,18 steps consultants,Civil Project Coordinator,NA,Experience : Five (5) years of relevant experience is required for consideration.Salary Package : Maximum 25000/monthNo.of Vacancy : 01Qualification : A bachelor's/Masters deg...,0 - 3 yrs,2020-10-22
417,steve recruitment,Warehouse Manager,Rs 5.00 - 30.00 Lacs p.a.,"Job brief:We are looking for an effective Warehouse Manager to direct receiving, warehousing and distribution operations. You will oversee the efficient receipt, storage, valu...",4 - 9 yrs,2020-10-22
418,TOONZ ANIMATION ACADEMY,Chief Operations Officer,NA,"Toonz Media Group, one of the world's leading kids and family entertainment companies, is looking for an experienced Chief Operations Officer - Vizdem (A Toonz Media Group Ini...",0 - 3 yrs,2020-10-22
419,TOONZ ANIMATION ACADEMY,Director - Digital Marketing,NA,"We are looking for a qualified Digital marketing director to take the lead in developing successful, long-term digital marketing strategies to join our awesome marketing team....",10 - 12 yrs,2020-10-22
420,MS India,"Administration Assistant/Executive,Administration Manager",Rs 5.50 - 10.50 Lacs p.a.,"Responsibilities and Accountabilities: Fresher Candidate can be apply .Maintains administrative staff by recruiting, selecting, orienting, and training employees.Supervises cl...",0 - 1 yrs,2020-10-22
421,CONNECTING 2 WORK,Electrical Engineer,NA,"Job Description Design frameworks for a project.Work with industrial and packaging engineers to develop, manufacture, and market a product.Analyze, design and build business/t...",0 - 3 yrs,2020-10-22
422,S M Placement,Human Resources Administrative,Rs 3.15 - 7.25 Lacs p.a.,"Marketing Coordinator Job Responsibilities:send your resumeMarkets products by developing and implementing marketing and advertising campaigns.Tracks sales data, maintains pro...",2 - 7 yrs,2020-10-22
423,mantis hr consulting,.NET Developer,NA,".NET Developer Trivandrum Location: Technopark, Trivandrum, Kerala, IndiaWe are looking for .NET developers with 2 to 6 years experience who can work closely with designers, d...",2 - 6 yrs,2020-10-21
424,mantis hr consulting,Android Lead,NA,"Android Lead Trivandrum Location: Technopark, Trivandrum, Kerala, IndiaResponsibilities Design & develop the android application as per desired specifications Own end to e...",0 - 3 yrs,2020-10-21
425,mantis hr consulting,Process Consultant Trivandrum,NA,"Process Consultant Trivandrum Location: Technopark, Trivandrum, Kerala, IndiaCandidates should have 3  years experience in process consulting and facilitation, implementation ...",3 - 6 yrs,2020-10-21
426,mantis hr consulting,Senior Test Automation Engineer,NA,"Senior Test Automation Engineer Trivandrum Location: Technopark, Trivandrum, Kerala, India Develop and execute automated test cases with test automation solutions to shorten t...",4 - 7 yrs,2020-10-21
427,mantis hr consulting,"Android Lead,",NA,"Android Lead, 5-10yrs Experince, Trivandrum-Technopark Trivandrum Location: Trivandrum, Kerala, IndiaWe are looking for an Android developer responsible for the development an...",5 - 10 yrs,2020-10-21
428,mantis hr consulting,QA Engineer (Web / Mobile),NA,"QA Engineer (Web / Mobile) -Technopark Trivandrum Location: Technopark, Trivandrum, Kerala, India Testing multi-tier web-based applications Testing mobile applications Testing...",1 - 5 yrs,2020-10-21
429,mantis hr consulting,Frontend Developer,NA,Proven work experience with javascript/typescript frameworks. Experience in UI frameworks Experience with D3.js of frameworks on top of D3.js Development and optimization of w...,0 - 3 yrs,2020-10-21
430,mantis hr consulting,Full-Stack Developer (Python) Trivandrum,NA,Proven work experience with database and application scaling Highly experienced with back-end programming language Python and its frameworks Proficient experience using Angula...,0 - 3 yrs,2020-10-21
431,mantis hr consulting,DevOps Engineer,NA,"DevOps Engineer Trivandrum Location: Trivandrum, Kerala, India Prior work experience in DevOps field with scaling web applications written on python frameworks is a must. Expe...",0 - 3 yrs,2020-10-21
432,mantis hr consulting,Senior .Net Developer,NA,"Senior .Net Developer, 4  yrs Exp, TRIVANDRUM_TECHNOPARK Trivandrum Location: Trivandrum, Kerala, India4  Years experience in in .Net Core, Asp.Net, Web Services & MVCExpe...",4 - 7 yrs,2020-10-21
433,icloud9 digital private limited,Account Manager,NA,The Account Manager is responsible for leading the day-to-day management of the account assignments and has ultimate responsibility for development and maintenance of strong c...,4 - 7 yrs,2020-10-21
434,icloud9 digital private limited,HR Manager,NA,"Hr position, is not limited to, talent acquisition & new hire on boarding, talent management, employee data maintenance, reporting, HR systems operations, and related regu...",0 - 3 yrs,2020-10-21
435,icloud9 digital private limited,Front End Developer - India | iCloud9 Digital,NA,The Front End Developer is responsible for the quality of the touchpoints that the end user engages with. He inherits designs that have been carefully planned by the User Expe...,2 - 5 yrs,2020-10-21
436,icloud9 digital private limited,Software Engineer (PHP),NA,We are looking for a Software Engineer Fresher (PHP) to join our development team. We are open to talented individuals who are born enthusiastic and creativity.This outstandin...,2 - 7 yrs,2020-10-21
437,icloud9 digital private limited,Software Engineer (PHP),NA,"We are looking for a Software Engineer (PHP) to help head up our development team. We are open to Senior developers looking to make the jump into a team lead role, or for expe...",0 - 3 yrs,2020-10-21
438,icloud9 digital private limited,Drupal Developer,NA,"Web Developer with strong core PHP skills and good exposure to Drupal required to join a growing organisation in Technopark,TrivandrumYou will be working as part of a small, f...",2 - 5 yrs,2020-10-21
439,icloud9 digital private limited,Business Development Manager,NA,"We are looking for a Business Development Manager , whom will play a vital role in planning and delivering new managed services clients through a variety of strategies to supp...",2 - 7 yrs,2020-10-21
440,icloud9 digital private limited,Marketing Executive |,NA,Identifying and acquire new overseas clients as well as Local Market.Generating Leads from sourcing tools available in the market.Taking follow up of with new clients.Send bus...,5 - 10 yrs,2020-10-21
441,icloud9 digital private limited,Social Media Content Writer / Developer,NA,We are seeking for a professional who can work as a proactive Social Media Content Writer / Developer Executive who will be responsible for the following:o Should be able to c...,1 - 3 yrs,2020-10-21
442,icloud9 digital private limited,Web Developer (Laravel),NA,"Required Skills Developing optimized PHP-Laravel framework.Following industry best practices such as source control, self-documenting code and error-free quality control Exper...",5 - 8 yrs,2020-10-21
443,icloud9 digital private limited,UI/UX Creative Designer,NA,"The UI/UX Designer is responsible for producing quality UX, Information Architecture and Interaction Design work under the guidance of Analysis team and the client requirement...",2 - 7 yrs,2020-10-21
444,icloud9 digital private limited,Executive - Digital and Social Media Marketing,NA,"As Social Media Executive, you will manage the online community, growing followers and fans across all platforms with an on-target audience. You will be developing, implementi...",2 - 3 yrs,2020-10-21
445,UNIVERSAL HUNT,Professional Medical Coders,NA,Experience 1 to 5 Years Industry ITES / BPO / KPO / Outsourcing Functional Area Medical Professional / Healthcare Practitioner / Technician Accurately transforms medical diagn...,2 - 5 yrs,2020-10-21
446,UNIVERSAL HUNT,Nurse - Female and Male candidates,NA,"200,000 - 500,000 INR (PA)Full TimeBangalore,Karnataka,India  Chennai,Tamil Nadu,India  Kochi,Kerala,India  Kottayam,Kerala,India  ... Thiruvananthapuram,Kerala,IndiaSkillscom...",3 - 5 yrs,2020-10-21
447,Fingent,Skill Set,NA,"Skill SetMinimum of 6 years experience in SAP integrationExperience of designing, implementing and supporting integration solutions using SAP PI/PO or HCI and other associated...",6 - 7 yrs,2020-10-21
448,Fundtech India Pvt Ltd,Senior Software Engineer,NA,"What will you contribute?Reporting to the Senior Manager, the Senior Software Engineer designs, develops, analyzes, and maintains high-quality software product applications. T...",0 - 3 yrs,2020-10-21
449,Caterpillar Power India Pvt Ltd,Quality Technician,NA,"Quality Technician - ( Job Number: 200005UM )Caterpillars Quality Technicians perform tactical Quality Management duties, responding to daily quality issues arising in the man...",0 - 3 yrs,2020-10-21
450,Bajaj Finserv Lending Ltd,Executive - Collections,NA,"Executive - Collections Location THIRUVANANTHAPURAMBusiness/Function Not SpecifiedBand E01Job Reference * JR00055667Job Summary * Executive - CollectionsJob Purpose ""This posi...",0 - 3 yrs,2020-10-21
451,S M Placement,Hotel Director of Operations,NA,Job DescriptionJob DescriptionWe are looking for hotel manager who can work with our company to fulfill the organizational goal and growth. Responsibilities The roles and resp...,2 - 7 yrs,2020-10-21
452,CONNECTING 2 WORK,Showroom Sales Executive,NA,"Job Description Job Description:Serves customers by helping them select products.Drives sales through engagement of customers, suggestive selling, and sharing product knowledg...",0 - 3 yrs,2020-10-20
453,JS Solutions,IOS Developer,Rs 1.80 - 2.20 Lacs p.a.,2 to 4 years of experience in developing mobile applications for iPhone/iPadShould be strong in object oriented programming and design using Swift or Objective CShould have pr...,1 - 2 yrs,2020-10-20
454,MS India,"Project Manager,Project Supervisor,project clerk",Rs 5.50 - 10.50 Lacs p.a.,Responsibilities and Accountabilities: Fresher Candidate can be apply .Project managers are responsible for planning and overseeing projects to ensure they are completed in a ...,0 - 1 yrs,2020-10-20
455,verbat technologies,UX Designer,NA,"We are looking for a UX Designer to turn our software into easy-to-use products for our clients. UX Designer responsibilities include gathering user requirements, designing gr...",4 - 7 yrs,2020-10-20
