,Company Name,Job Role,Salary,Job Decription,Department,Required Exp,posted_date,web_link
98,Augusta Infotech,Ecommerce - Front End Architect,NA,"The purpose of the Job is to conceptualize and define the client-side architecture of a state-of-the art real time e-commerce software Product and lead to implementation which will perform well across browsers, operating systems, languages and devices inspiring customers, simplifying shopping experience and customer valued innovation. Accountable for the strategic and tactical direction of the front-end architecture solution for a new software Product suite in building Accountable for the technology selection, framework building to implement approved wireframes or design concepts  Suggest tools, technologies, and best practices to decrease development time, reduce UI defects, and improve the maintainability of the client-side customer experience Evaluate front-end performance metrics and demonstrate ways to improve client-side performance and page-load time Create wireframes and prototypes that can be reviewed by both project stakeholders as well as development team members Define and own the Front End technical road map for the product Research, assess and lead the initiation of new technologies to maximize performance.
,",General / Other Software,7 to 12 Yrs," Oct 28, 2020
                                ",https://www.shine.com/jobs/ecommerce-front-end-architect/augusta-infotech/10990308/
99,Augusta Infotech,Thunderhead Lead / Thunderhead BCS / Thunderhead BOS,NA,"Hiring, Thunderhead Lead6-10 years experiences in Thunderhead technologiesThunderhead developer should have experience in Thunderhead BCS and BOSShould be well versed with preparation of the XML data schema and their mapping to business data objectsProficiency in authoring of the business templates as per the business specifications.Should have good understanding in creation of document templates, business objects, stylesetsProficiency in edition creation in Thunderhead DDV for managing multi-lingual communication.Should have a proficiency in creating Emails and Letters layouts in Thunderhead for managing Web and Print channels based on the requirement.Main Duties: Design and Developing of Enterprise solution based on project requirementReview and provide solution options for ThunderHead solutions, service interface design etc.Ensuring the quality of delivery from project perspectiveEnsuring the completion of task as per the schedule and costTechnical Skills:ThunderHead BCSThunderHead BOSXML Data SchemaStatic & Dynamic Document Templates
,",General / Other Software,6 to 10 Yrs," Oct 28, 2020
                                ",https://www.shine.com/jobs/thunderhead-lead-thunderhead-bcs-thunderhead-bos/augusta-infotech/10984527/
100,Augusta Infotech,Microsoft .NET Developers/Senior Developers,NA,"Hiring, Microsoft .NET professionals with following skills Asp.Net, C#, Sql, MVC - All mandatory skillsYou will be responsible for design, development, testing and delivery of components/features/applications.
,",General / Other Software,3 to 7 Yrs," Oct 28, 2020
                                ",https://www.shine.com/jobs/microsoft-net-developerssenior-developers/augusta-infotech/10984878/
101,Augusta Infotech,Ecommerce - Technical Architect,NA,"The purpose of the Job is to conceptualize and define the architecture of a state-of-the art real time e-commerce software Product and lead to implementation - where high availability, security, performance, stability and scalability are Key factors. Job Accountability Accountable for Architectural and Technology solution for a new software Product suite in building Accountable for providing solutions to NFR requirements, NFR test strategy, reviewing NFR test reports and tuning the application Accountable for defining the deployment architecture, data migration strategy, product monitoring frameworks, application sizing Research, assess and lead the initiation of new technologies to maximize performance.
,",Technical Support / Helpdesk,8 to 12 Yrs," Oct 28, 2020
                                ",https://www.shine.com/jobs/ecommerce-technical-architect/augusta-infotech/10984880/
102,Augusta Infotech,"Java Architect / Technical Architect Web Development, Spring, Hibernate",NA,"Hiring, Technical Architect Web Development at Trivandrum.Key Responsibilities: Produce high level technical designs for functionality contained within a functional specification that which are technically achievable and appropriate in terms of performance, scalability and cost. Work to ensure the proposed design meets the requirements. Assess how a solution can be delivered using standard and non-standard products from internal and 3rd parties, influencing key buy or build decisions. Ensure that high level designs also consider non-functional requirements such as security, performance and accessibility. Identify and resolve all key technical design decisions and problems. Work closely with development leads through the delivery stage of a project ensuring that the both the technical and functional specification is followed while monitoring any potential performance or scalability issues. Retain full ownership for all project development throughout the project lifecycle ensuring that everything is reviewed prior to delivery. Work with the stakeholders and overseas Architects to help continually refine and improve development processes and standards.Minimum Qualification and Experience: At least 8 years of experience in Web Development of which 2-3 years in the role of Technical Architect /Technical Lead.Mandatory Skills: Significant experience of hands-on software development -Architected and delivered in Web Technology. Should have expertise in Object Oriented Programming practices (desirably Java, JEE) Design patterns, SQL Server. Experience on Production environments and Infrastructure.Desired Skills: Experience in Integrations Services or any other ETL tool would be an advantage. Exposure to Analysis Services, Reporting Services, Chrome Book and Mac would be advantage.Competency Requirement: Influencing Skills - to interact/speak with stake holders to influence them on the product solutions. Communication Skills - ability to share and communicate ideas both verbally and in writing to management staff, business sponsors, and technical resources. Ownership for proposing and implementing solutions. Should be a good team player
,",General / Other Software,8 to 15 Yrs," Oct 28, 2020
                                ",https://www.shine.com/jobs/java-architect-technical-architect-web-development-spring-hibernate/augusta-infotech/10986595/
103,Augusta Infotech,"MSBI Architect - SSIS, SSRS, SSAS, .NET, SQL. MVC",NA,"Hiring, MS-BI Architect with .NET Integration experience.",General / Other Software,8 to 12 Yrs," Oct 28, 2020
                                ",https://www.shine.com/jobs/msbi-architect-ssis-ssrs-ssas-net-sql-mvc/augusta-infotech/10987114/
104,US Technology,Lead I - Business Analysis,NA,"Roles & Responsibilities Work with customers in gathering business requirements for core business modules in Contract Management System (CMS)/Loan Origination System (LOS) project. Play a role on enterprise-wide effort involving CMS integration efforts across the organization. Leading projects and coordinating with other teams to produce better business outcomes Strong exposure in Sales Finance/Banking domain (Retail, Loan origination, Accounting, Collection etc.) Ensure that existing governance documents are up to date based on the changes in governance requirements or business needs. Identify and execute on ways to service the business better. Work with subject matter experts and project team to identify, define, collate, document and communicate the business requirements. Good communications and facilitation skills. Good analytical, critical thinking and problem-solving abilities. Qualifications 8+ years of Business analyst experience 4+ years of experience working as an analyst on large and complex projects in Sales & Finance domain, preferably in Loans financing field. Bachelor s degree with a concentration in Business, Economics, Finance or Computer Science, or an equivalent diploma.,",Sales / BD,4 to 7 Yrs," Oct 28, 2020
                                ",https://www.shine.com/jobs/lead-i-business-analysis/us-technology/11065905/
105,US Technology,Tester III - Software Testing,NA,"Role Proficiency: Level of Proficiency: Performs tests in strict compliance independently, guides other testers and assists test leads Outcomes: 1. Construct test scenarios based on customer user stories or requirements 2. Construct systematic test cases from scenarios for applications based on customer user stories or requirements 3. Execute systematic test cases from scenarios for applications based on customer user stories or requirements 4. Ensure that new or revised components or systems perform to expectation. 5. Ensure meeting of standards; including usability, performance, reliability or compatibility. 6. Document Test results and report defects 7. Facilitate changes in processes/practices/procedures based on lessons learned from the engagement 8. Develop proficiency of other testers on the project Measures of Outcomes: Measures: 1. Timely completion of all tasks 2. # of requirement/user story ambiguities logged 3. Requirements / User story coverage based on test cases/script 4. # of test cases/script developed in comparison to the benchmarks 5. # of test cases/script executed in comparison to the benchmarks 6. # of valid defects Outputs Expected: Requirements Management: Participate, Seek Clarification, Understand, Review Domain relevance: Test feature / component with good understanding of the business problem being addressed for the client Conduct gap analysis between requirement fitment and technology stack, using technology/domain expertise Reporting: Reporting the test activities of a small team including multiple testers Estimate: Estimate time, effort and resource dependence for work performed Manage knowledge: Consume, Contribute Test Design, Development, Execution: Identify testable scenarios and create test scenario document Update RTM Obtain sign off on test scenarios Basis (3) above, identify and create test cases and test data Smoke testing for system readiness check Execute test cases / scripts Identify, log and track defects Retest Log in productivity data Skill Examples: 1. Ability to review user story / requirements to identify ambiguities 2. Ability to design test cases / scripts as per user story / requirements 3. Ability to apply techniques to design efficient test cases / script 4. Ability to set up test data and execute tests 5. Ability to identify anomalies and detail them Knowledge Examples: 1. Knowledge of Methodologies 2. Knowledge of Tools 3. Knowledge of Types of testing 4. Knowledge of Testing Processes 5. Knowledge of Testing Standards,",General / Other Software,2 to 3 Yrs," Oct 28, 2020
                                ",https://www.shine.com/jobs/tester-iii-software-testing/us-technology/11065908/
106,US Technology,Lead II - Cloud Infrastructure Services,NA,"Role Proficiency: Level of Proficiency: Resolve enterprise trouble tickets within agreed SLA and raise problem tickets for permanent resolution and/or provide technical leadership (lateral or hierarchical) for the team to resolve customer issues Outcomes: 1) Update SOP with updated troubleshooting instructions and process changes 2) Mentor new team members in understanding customer infrastructure and processes 3) Perform alert analysis for driving incident reduction 4) Escalate high priority incidents to customer and organization stakeholders for quicker resolution 5) Contribute to planning and successful migration of platforms 6) Perform root cause analysis to find out corrective and preventive actions after every major incidents and escalations 7) Work on problem tickets for finding permanent solutions of repeated issues 8) Create roll out and roll back plan for change implementation and ensure adherence for preventing unauthorized changes Measures of Outcomes: Measures: 1) SLA Adherence 2) Time bound resolution of elevated tickets - OLA 3) Manage ticket backlog timelines - OLA 4) Adhere to defined process Number of NCs in internal/external Audits 5) Number of KB articles created 6) Number of incidents and change ticket handled 7) Number of elevated tickets resolved 8) Number of successful change tickets 9) % Completion of all mandatory training requirements Outputs Expected: Resolution: Understand Priority and Severity based on ITIL practice, resolve trouble ticket within agreed resolution SLA Troubleshooting: Troubleshooting based on available information from previous tickets or consulting with seniors. Participate in online knowledge forums reference. Covert the new steps to KB article Perform logical/analytical troubleshooting. Work on problem tickets to identify permanent solutions Escalation/Elevation: Escalate within organization/customer peer in case of resolution delay. Understand OLA between delivery layers (L1, L2, L3 etc), adhere to OLA. Elevate to next level, work on elevated tickets from L1 Tickets Backlog/Resolution: Follow up on tickets based on agreed timelines, manage ticket backlogs/last activity as per defined process. Resolve incidents and SRs within agreed timelines. Execute change tickets for infrastructure. Installation: Install and configure tools, software and patches Runbook/KB: Update KB with new findings Document and record troubleshooting steps as knowledge base Collaboration: Collaborate with different towers of delivery for ticket resolution (within SLA); resolve L1 tickets with help from respective tower. Collaborate with other team members for timely resolution of tickets. Actively participate in team/organization-wide initiatives. Co-ordinate with UST ISMS teams for resolving connectivity related issues. Stakeholder Management: Lead the customer calls and vendor calls. Organize meeting with different stake holders. Take ownership for function's internal communications and related change management. Strategic: Define the strategy on data management, policy management and data retention management. Support definition of the IT strategy for the function s relevant scope and be accountable for ensuring the strategy is tracked, benchmarked and updated for the area owned. Process Adherence: Thorough understanding of organization and customer defined process. Suggest process improvements and CSI ideas. Adhere to organization s policies and business conduct. Process/efficiency Improvement: Proactively identify opportunities to increase service levels and mitigate any issues in service delivery within the function or across functions. Take accountability for overall productivity efforts within the function, including coordination of function specific tasks and close collaboration with Finance. Process Implementation: Coordinate and monitor IT process implementation within the function Compliance: Support information governance activities and audit preparations within the function. Act as a function SPOC for IT audits in local sites (incl. preparation, interface to local organization, mitigation of findings etc.) and work closely with ISRM (Information Security Risk Management). Coordinate overall objective setting preparation and facilitate process in order to achieve consistent objective setting in function Job Description. Coordination Support for CSI across all services in CIS and beyond. Training: On time completion of all mandatory training requirements of organization and customer. Provide On floor training and one to one mentorship for new joiners. Complete certification of respective career paths Performance Management: Update FAST Goals in NorthStar, track, report and seek continues feedback from peers and manager. Set goals for team members and mentees and provide feedback.Assist new team members in understanding the customer environment Skill Examples: 1) Good communication skills (Written, verbal and email etiquette) to interact with different teams and customers. 2) Modify / Create runbooks based on suggested changes from juniors or newly identified steps 3) Ability to work on an elevated server ticket and solve 4) Networking: a. Trouble shooting skills in static and Dynamic routing protocols b. Should be capable of running netflow analyzers in different product lines 5) Server: a. Skills in installing and configuring active directory, DNS, DHCP, DFS, IIS, patch management b. Excellent troubleshooting skills in various technologies like AD replication, DNS issues etc. c. Skills in managing high availability solutions, like failover clustering, Vmware clustering, etc. 6) Storage and Back up: a. Ability to give recommendations to customers. Perform Storage & backup enhancements. Perform change management. b. Skilled in in core fabric technology, Storage design and implementation. Hands on experience on backup and storage Command Line Interfaces c. Perform Hardware upgrades, firmware upgrades, Vulnerability remediation, storage & backup commissioning and de-commissioning, replication setup and management. d. Skilled in server, Network and virtualization technologies. Integration of virtualization, storage and backup technologies e. Review the technical diagrams, architecture diagrams and modify the SOP and documentations based on business requirements. f. Ability to perform the ITSM functions for storage & backup team and review the quality of ITSM process followed by the team. 7) Cloud: a. Skilled in any one of the cloud technologies - AWS, Azure, GCP. 8) Tools: a. Skilled in administration and configuration of monitoring tools like CA UIM, SCOM, Solarwinds, Nagios, ServiceNow etc b. Skilled in SQL scripting c. Skilled in building Custom Reports on Availability and performance of IT infrastructure building based on the customer requirements 9) Monitoring: a. Skills in monitoring of infrastructure and application components 10) Database: a. Data modeling and database design, Database schema creation and management b. Identify the data integrity violations so that only accurate and appropriate data is entered and maintained. c. Backup and recovery d. Web-specific tech expertise for e-Biz, Cloud etc. Examples of this type of technology include XML, CGI, Java, Ruby firewalls, SSL, and so on. e. Migrating database instances to new hardware and new versions of software from on premise to cloud based databases and vice versa. 11) Quality Analysis: a. Ability to drive service excellence and continuous improvement within the framework defined by IT Operations Knowledge Examples: 1) Good understanding of customer infrastructure and related CIs. 2) ITIL Foundation certification 3) Thorough hardware knowledge 4) Basic understanding of capacity planning 5) Basic understanding of storage and backup 6) Networking: a. Hands-on experience in Routers and switches and Firewalls b. Should have minimum knowledge and hands-on with BGP c. Good understanding in Load balancers and WAN optimizers d. Advance back and restore knowledge in backup tools 7) Server: a. Basic to intermediate powershell / BASH/Python scripting knowledge and demonstrated experience in script based tasks b. Knowledge of AD group policy management, group policy tools and troubleshooting GPO alerts c. Basic AD, object creation, DNS concepts, DHCP, DFS d. Knowledge with tools like SCCM, SCOM administration 8) Storage & Backup: a. Subject Matter Expert in any of the Storage and Backup technology 9) Tools: a. Proficient in the understanding and troubleshooting of Windows and Linux family of operating systems 10) Monitoring: a. Strong knowledge in ITIL process and functions 11) Database: a. Knowledge in general database management b. Knowledge in OS System and networking skills,",General / Other Software,3 to 5 Yrs," Oct 28, 2020
                                ",https://www.shine.com/jobs/lead-ii-cloud-infrastructure-services/us-technology/11065917/
107,US Technology,Sr. Technical Lead,Rs 2.5  - 6 Lakh/Yr,"MUST HAVE C# .Net Core Extensive experience designing and building apps in Azure Service level unit and integration testing CI / CD build tooling and testing utilities  Experience developing and integrating a range of web services  Azure utilities such as the Azure CLI / Remote Manager / Templating Understanding of JSON; XML; Schema Documents Strong understanding of RESTful services (JSON) and API Design Comfortable working with DBaaS products with SQL or NoSQL experience  Experience working in an agile software development environmentDesirable Skills: Angular 2 or later HTML; JavaScript; CSS/SCSS,",Web / Mobile Technologies,3 to 6 Yrs," Oct 28, 2020
                                ",https://www.shine.com/jobs/sr-technical-lead/us-technology/11066197/
108,US Technology,Associate III - Cloud Infrastructure Services,Rs 2.0  - 4.5 Lakh/Yr,"Role Proficiency: Level of Proficiency: Resolve L1 Incident and service requests within agreed SLA Outcomes: 1) Monitor customer infrastructure using tools or defined SOPs to identify failures and mitigate the same by raising tickets with defined priority and severity 2) Update SOP with updated troubleshooting instructions and process changes 3) Mentor new team members in understanding customer infrastructure and processes 4) Perform alert analysis for driving incident reduction 5) Resolve L1 incidents and service requests Measures of Outcomes: Measures: 1) SLA Adherence 2) Compliance towards runbook based troubleshooting process 3) Time bound elevations and routing of tickets OLA Adherence 4) Schedule Adherence in managing ticket backlogs 5) # of NCs in internal/external audits 6) Number of KB changes suggested 7) Production readiness of new joiners within agreed timeline by one-on-one mentorship 8) % Completion of all mandatory training requirements 9) Number of tickets reduced by alert analysis 10) Number of installation SR handled for endpoints / change tasks completed for infrastructure 11) Number of L1 tickets closed Outputs Expected: Monitoring: Understand Priority and Severity based on ITIL practice. Understand agreed SLA with customer and adhere. Repetitive alert analysis for finding high ticket generating Cis. Adhere to ITIL best practices Runbook Reference/Change: Follow runbook for troubleshooting, record troubleshooting steps and provide inputs for runbook changes. Escalation/Elevation/Routing of tickets: Escalate within organization/customer peer in case of resolution delay. Understand OLA between delivery layers (L1, L2, L3 etc), adhere to OLA, route the tickets to relevant queue, initiate intimation respective teams/customer based on defiled process. Tickets Backlog/Resolution: Follow up on tickets based on agreed timelines, manage ticket backlogs/last activity as per defined process. Resolve incidents and SRs within agreed timelines. Execute change tasks for infrastructure. Collaboration: Collaborate with different towers of delivery for ticket resolution (within SLA), document learnings for self-reference. Close/resole L1 tickets with help from respective tower. Actively participate in team/organization-wide initiatives. Installation: Install software software/tools and patches Stakeholder Management: Lead the customer and vendor calls. Organize meetings with different stake holders. Participate in RCA meetings. Process Adherence: Thorough understanding of organization and customer defined process. Consult with mentor when in doubt. Adherence to defined processes. Adhere to organization s policies and business conduct. Training: On time completion of all mandatory training requirements of organization and customer. Provide On floor training and one-on-one mentorship for new joiners. Performance Management: Update FAST Goals in NorthStar, track, report and seek continues feedback from peers and manager. Set goals and provide feedback for mentees. Assist new team members to understand the customer environment. Skill Examples: 1) Good communication skills (Written, verbal and email etiquette) to interact with different teams and customers 2) Networking: a. Good in Monitoring tools and Device back up scheduling b. Basic DHCP and DNS configuration in routers and switches c. Basic troubleshooting skills in show ip route sh mac address-table etc d. Static and dynamic IP routing protocols basics 3) Server: a. Basic to intermediate powershell / BASH/Python scripting skills b. Manual patch of QA server c. Analyse space alerts from a server and engage Capacity Mgmt. team for disc expansion 4) Storage and Back up a. Ability to handle Storage and Backup issues independently b. Ability to handle Vendor management, Device management, Storage array management c. Perform Hardware upgrades, firmware upgrades, Vulnerability remediation d. Ticket analysis, Storage and backup Performance management, various trouble shootings 5) Database: a. Patching and upgrading the DB server and application tools b. Tweak queries making them run as fast as possible c. Logical and Physical Schema design (indexing, constraints, partitioning, etc.) d. Ability to visualize, debug the end-to-end flow of business transaction model and applications e. DB migration, export/import Knowledge Examples: KnowledgeExamples 1) Fair understanding of customer infrastructure, ability to co-relate failures 2) Monitoring knowledge in infrastructure tools 3) Networking a. IP addressing and Subnetting knowledge b. Preferably certified in Cisco's basic certification track c. IOS upgradation knowledge and IOS patching knowledge 4) Server a. Intermediate level knowledge in active directory, DNS, DHCP, DFS, IIS, patch management b. Strong knowledge in backup tools such as Veritas/Commvault/Windows backup, storage concepts etc c. Strong Virtualization and basic cloud knowledge d. AD group policy management, group policy tools and troubleshooting GPO alerts e. Basic AD, object creation, DNS concepts, DHCP, DFS f. Knowledge with tools like SCCM, SCOM administration 5) Storage and Backup a. In depth knowledge in Storage & Backup technology, Storage allocation and reclamation, Backup policy creation and management b. Strong knowledge in server, Network and virtualization technologies 6) Tool a. Knowledge in Infrastructure and application technologies b. Understanding of monitoring concepts and process c. Understanding of key network monitoring protocols including SNMP, NetFlow, WMI, syslog, etc d. Knowledge in administration of tools like SCOM, Solarwinds, CA UIM, Nagios, ServiceNow, etc 7) Monitoring a. Good understanding of networking concepts and protocols b. Knowledge in Server, backup, storage technologies c. Desirable to have knowledge in SQL scripting d. Knowledge in ITIL process 8) Database: a. Knowledge of Database security 9) Quality Analysis a. Exposure to FMEA audit practices b. Exposure to technology/processes as per audit requirements. 10) Working knowledge of MS Excel, Word, PPT, Outlook etc.,",General / Other Software,2 to 6 Yrs," Oct 28, 2020
                                ",https://www.shine.com/jobs/associate-iii-cloud-infrastructure-services/us-technology/11066204/
109,US Technology,Lead I - Software Testing,Rs 2.5  - 6 Lakh/Yr,"Role Proficiency: Level of Proficiency: Ensuring adherence to test practices and process to improve test coverage Outcomes: 1. Create Test Estimates and Schedules 2. Identify business processes, conduct risk analysis and ensure test coverage 3. Ensure adherence of processes and standards 4. Produce test results, defect reports, test logs and reports for evidence of testing 5. Publish RCA reports and preventive measures 6. Report progress of testing 7. Contribute for Revenue savings for client by suggesting alternate method 8. Quality of Deliverables Measures of Outcomes: Measures: 1. Test Script Creation and Execution Productivity 2. Defect Leakage Metrics (% of defect leaked, % of UAT defects and % of Production defects) 3. % of Test case reuse 4.Test execution Coverage 5. Defect Acceptance Ratio 6.Test Review efficiency Outputs Expected: Test Design, Development, Execution: Participate in review, walkthrough, demo and obtain sign off by stakeholder for Test Design Prepare Test summary report for modules/features Requirements Management: Analyse, Prioritize, Identify Gaps and create workflow diagrams based on Requirements/User stories Manage Project: Participate in Test management Domain relevance: Identify business processes, conduct risk analysis and ensure test coverage Estimate: Prepare Estimate, Schedule, Identify dependencies Knowledge Management: Consume, Contribute, Review (Best Practices, Lesson learned, Retrospective) Test Design, Execution: Test Plan preparation, Test Case/Script Creation, Test Execution Test & Defect Management: Conduct root cause and trend analysis of the defects Test Planning: Identify the test scenarios with understanding of systems, interfaces and application Identify end-to-end business critical scenarios with minimal support Create/Review the test scenarios and prepare RTM Skill Examples: 1. Ability to create and manage a test plan 2. Ability to prepare schedules based on estimates 3. Ability to track and report progress 4. Ability to identify test scenarios and prepare RTM 5. Ability to analyse requirement/user stories and prioritize testing 6. Ability to carry out RCA 7. Ability to capture and report metrics Knowledge Examples: 1. Knowledge of Estimation techniques 2. Knowledge of Testing standards 3. Knowledge of identifying the scope of testing 4. Knowledge of RCA Techniques 5. Knowledge of Test design techniques 6. Knowledge of Test methodologies,",Testing,3 to 5 Yrs," Oct 28, 2020
                                ",https://www.shine.com/jobs/lead-i-software-testing/us-technology/11066202/
110,US Technology,Director I - Delivery Management,NA,"Role Proficiency: Level of Proficiency: Independently manage the function of delivery initiation and planning for one or more client accounts with the respective account managers. Provide leadership to manage service delivery across multiple business functions and projects encompassing design, development, maintenance and support of digital and traditional projects operating on agile and waterfall models. Understand clients businesses and UST s capabilities well in order to plan delivery and growth strategy.,",General / Other Software,4 to 7 Yrs," Oct 28, 2020
                                ",https://www.shine.com/jobs/director-i-delivery-management/us-technology/11066584/
111,US Technology,Lead I - Software Engineering,NA,"Role Proficiency: Level of Proficiency: Act creatively to develop applications and select appropriate technical options, optimizing application development, maintenance and performance by employing design patterns and reusing proven solutions, account for others' developmental activities Outcomes: 1. Interpret the application/feature/component design to develop the same in accordance with specifications. 2. Code, debug, test, document and communicate product/component/feature development stages. 3. Validate results with user representatives; integrates and commissions the overall solution 4. Select appropriate technical options for development such as reusing, improving or reconfiguration of existing components or creating own solutions 5. Optimises efficiency, cost and quality. 6. Influence and improve customer satisfaction 7. Set FAST goals for self/team; provide feedback to FAST goals of team members Measures of Outcomes: Measures: 1. Adherence to engineering process and standards (coding standards) 2. Adherence to project schedule / timelines 3. Number of technical issues uncovered during the execution of the project 4. Number of defects in the code 5. Number of defects post delivery 6. Number of non compliance issues 7. On time completion of mandatory compliance trainings Outputs Expected: Code: Code as per design Follow coding standards, templates and checklists Review code for team and peers Documentation: Create/review templates, checklists, guidelines, standards for design/process/development Create/review deliverable documents. Design documentation, r and requirements, test cases/results Configure: Define and govern configuration management plan Ensure compliance from the team Test: Review and create unit test cases, scenarios and execution Review test plan created by testing team Provide clarifications to the testing team Domain relevance: Advise Software Developers on design and development of features and components with a deep understanding of the business problem being addressed for the client. Learn more about the customer domain identifying opportunities to provide valuable addition to customers Complete relevant domain certifications Manage Project: Manage delivery of modules and/or manage user stories Manage Defects: Perform defect RCA and mitigation Identify defect trends and take proactive measures to improve quality Estimate: Create and provide input for effort estimation for projects Manage knowledge: Consume and contribute to project related documents, share point, libraries and client universities Review the reusable documents created by the team Release: Execute and monitor release process Design: Contribute to creation of design (HLD, LLD, SAD)/architecture for Applications/Features/Business Components/Data Models Interface with Customer: Clarify requirements and provide guidance to development team Present design options to customers Conduct product demos Manage Team: Set FAST goals and provide feedback Understand aspirations of team members and provide guidance, opportunities, etc Ensure team is engaged in project Certifications: Take relevant domain/technology certification Skill Examples: 1. Explain and communicate the design / development to the customer 2. Perform and evaluate test results against product specifications 3. Break down complex problems into logical components 4. Develop user interfaces, business software components 5. Use data models 6. Estimate time and effort required for developing / debugging features / components 7. Perform and evaluate test in the customer or target environment 8. Make quick decisions on technical/project related challenges 9. Manage a Team, mentor and handle people related issues in team 10. Maintain high motivation levels and positive dynamics in the team. 11. Interface with other teams, designers, and other parallel practices 12. Set goals for self and team. Provide feedback to team members 13. Create and articulate impactful technical presentations 14. Follow high level of business etiquette in emails and other business communication 15. Drive conference calls with customers addressing customer questions 16. Proactively ask for and offer help 17. Ability to work under pressure, determine dependencies, risks, facilitate planning; handling multiple tasks. 18. Build confidence with customers by meeting the deliverables on time with quality. 19. Estimate time and effort, resources required for developing / debugging features / components 20. Make on appropriate utilization of Software / Hardware s. 21. Strong analytical and problem-solving abilities Knowledge Examples: 1. Appropriate software programs / modules 2. Functional and technical designing 3. Programming languages proficient in multiple skill clusters 4. DBMS 5. Operating Systems and software platforms 6. Software Development Life Cycle 7. Agile Scrum or Kanban Methods 8. Integrated development environment (IDE) 9. Rapid application development (RAD) 10. Modelling technology and languages 11. Interface definition languages (IDL) 12. Knowledge of customer domain and deep understanding of sub domain where problem is solved,",General / Other Software,2 to 4 Yrs," Oct 28, 2020
                                ",https://www.shine.com/jobs/lead-i-software-engineering/us-technology/11066719/
112,US Technology,Lead I - Software Testing,NA,"QA Automation Engineer Description UST Global is looking for QA Automation Engineers with 8+ years of experience to build end to end business solutions and to work with one of the leading financial services organization in the US and Canada. . The primary objective of the QA Lead is to lead the QA efforts of one or more products as well as manage technical risks throughout the project. The QA Lead is responsible to establish the QA processes within the team, also to set up automation suite. QA Lead should mentor and supervise the QA analysts in the team. The individual will be working in a distributed project team between onsite and offshore. The individual must keep his/her manager well informed of QA status at regular intervals. RESPONSIBILITIES Analyze product test requirements Design and develop test plans, test cases and test automation framework Perform functional, regression testing, support UAT, Pre-Go Live & Go-Live testing Provide expert support and guidance in niche areas of performance, stress, usability testing and test automation Review and provide feedback on test cases created by team members Conduct testing on all software products for applicable OS platforms utilizing systems analysis techniques and procedures Mentor test analysts and senior test analysts on testing related activities Supervise test analysts and senior test analysts on testing related activities Coordinate with offshore (India) teams Coordinate with the Development teams, managers and Business teams during the different phases of application development Ability to create good acceptance and integration test automation scripts and integrate with Continuous integration (Jenkins) and code coverage tools (Sonar, Clover) to ensure 80% or higher code coverage. Sound knowledge of Java, Spring, JUnit, Eclipse IDE, Rest Assured, Appium, Jbehave/Cucumber frameworks, Databases, APIs (REST/SOAP), Continuous Delivery concepts and tools such as Jenkins/Bamboo, vulnerability tools such as Sonar, Checkmarx/Fortify, etc. Proficient with Test Case and Defect Management skills across SDLC process is required Demonstrated software development, testing, and coding skills are required Good knowledge of architecture, common design patterns, test data generation tools highly desirable. Expertise in agile delivery, and life-cycle management tools (Test Rail/JIRA/Rally/Rational Concert), software testing standards, methods and conventions. Experience with performance engineering and profiling (e.g. Java JVM, Databases) and tools such as Load Runner, JMeter. Exposure to Application performance monitoring tools such as Dynatrace and Splunk desirable. Exposure to Cloud, Infrastructure-as-a-code concept, and tools such as Chef/Puppet desirable. Expertise with cross browser and cross device testing strategies and automation via device clouds (Perfecto, Device Anywhere, Testdroid, etc) QUALIFICATIONS: BS/BA degree in computer science, engineering or related discipline. 3-5 or more years of direct experience in software quality assurance & software testing, WORK EXPERIENCE: Ability to work in a Sprint Team environment or independently as needed. Knowledge of test automation frameworks and must have participated in / rolled out test automation initiatives Knowledge of BDD, TDD, Gherkin spec and their application is a plus Understanding of services (example: REST), JSON and XML data formats is recommended Very good understanding of SDLC process. Prefer: Agile/ Scrum/ XP Excellent problem solving & interpersonal communication skills a must. Thorough knowledge of software testing practices, including test planning, test automation - API and UI, and defect management Strong SQL Scripting skills Working knowledge of CI to create builds using Jenkins Tools Expertise: (Must have proficiency in at least one tool from each category) Defect Tracking: JIRA, Java Scripts, Groovy Automated Testing: Junit, Cucumber, Selenium, Mercury QTP 8.2, TestNG, FlexUnit, LoadRunner, SoapUI Browsers: Chrome, Firefox, IE Database Tools: Oracle, MongoDB, PostgreSQL, SQL Developer or other query tools Other Tools: Jenkins, GIT, Putty, WinScp,",General / Other Software,8 to 10 Yrs," Oct 28, 2020
                                ",https://www.shine.com/jobs/lead-i-software-testing/us-technology/11066710/
113,US Technology,Associate II - BPM,Rs 5  - 9 Lakh/Yr,"Good communication skills; especially communicating without fear. Attention to details, in particular to identify, track and close open items without fail. An instinct to take ownership, be responsive, do quick thinking. Ability to structure a tactical plan of action out of a vision/ strategy. Astuteness to bring different functions and people together to stitch integrated solutions for clients (not to be inhibited by hierarchy or Org structures). Excitement to contribute to business growth. Quick learning ability! Above all, a lot of passion to perform, contribute, learn and grow. Power point skills will be an added plus.,",General / Other Software,3 to 6 Yrs," Oct 28, 2020
                                ",https://www.shine.com/jobs/associate-ii-bpm/us-technology/11066810/
